Timestamp,Berkeley id or email?,Is your UCSD #3 prestige banner there?,Can you log in to the UCI link?,Did you apply for financial aid?,GPA(UC UW)?,GPA(UC W),GPA(UC W capped),Rate your piqs on a scale of 1-10,Rate your ec's on a scale of 1-10,UCB major?,UCSD major?,UCI major?,Best college you've already gotten accepted to(not required),UCB major? (AI Categorized),UCSD major? (AI Categorized),UCI major? (AI Categorized),Expected_Prob
3/8/2026 10:55:51,Id,No,Yes,Yes,4.0,4.31,,7,7,Chemistry,Chemistry,Chemistry,,Life Sciences,Life Sciences,Life Sciences,0.0
3/8/2026 10:56:01,Id,Yes,Yes,Yes,3.86,4.14,4.34,7,5,Bioengineering,Bioengineering,Biomedical Engineering,UC Berkeley,Engineering,Engineering,Engineering,0.85
3/8/2026 10:57:21,Id,Yes,Yes,Yes,3.6,4.2,3.9,8,8,Applied Math,Applied Math,Computational Math,Hong Kong University,Physical Sciences/Math,Physical Sciences/Math,Computer Science,0.0016643420442070127
3/8/2026 10:57:47,Email,No,No,Yes,3.88,4.38,4.21,7,8,applied math,ICAM,applied math,,Physical Sciences/Math,Other/Interdisciplinary,Physical Sciences/Math,0.85
3/8/2026 11:03:10,Email,No,No,Yes,4.0,4.4,4.3,8,8,EECS,ECE,Comp eng,,Engineering,Engineering,Engineering,0.85
3/8/2026 11:06:53,Email,No,Yes,Yes,4.0,4.6,4.31,8,9,Data Science,CS,CS,,Computer Science,Computer Science,Computer Science,0.85
3/8/2026 11:07:09,Id,No,Yes,No,4.0,4.91,4.33,8,6,Chemical biology,Biochem,Biological sciences,,Life Sciences,Life Sciences,Life Sciences,0.85
3/8/2026 11:07:56,Email,Yes,No,No,3.92,4.24,4.24,7,8,Molecular and Cell Biology,Biochemistry,Biological Sciences,,Life Sciences,Life Sciences,Life Sciences,0.85
3/8/2026 11:08:45,Email,Yes,No,No,3.83,4.3,4.18,9,7,Cognitive Science,Cognitive Science,Cognitive Science,,Other/Interdisciplinary,Other/Interdisciplinary,Other/Interdisciplinary,0.85
3/8/2026 11:09:38,Id,No,Yes,Yes,4.0,4.5,4.3,8,7,Astrophysics,Astrophysics,Physics,,Physical Sciences/Math,Physical Sciences/Math,Physical Sciences/Math,0.85
3/8/2026 11:10:43,Id,No,Yes,Yes,4.0,4.78,4.32,9,8,mcdb,human bio,bio sci,ucd,Life Sciences,Life Sciences,Life Sciences,0.85
3/8/2026 11:14:16,Id,Yes,No,No,4.0,4.5,4.33,7,7,Electrical and Computer Engineering,Electrical Engineering,Electrical Engineering,,Engineering,Engineering,Engineering,0.85
3/8/2026 11:15:04,Id,Yes,Yes,Yes,3.92,4.25,4.25,6,6,Mechancial Engineering,Mechanical Engineering,Mechanical Engineering,San Diego State University,Engineering,Engineering,Engineering,0.85
3/8/2026 11:18:06,Id,No,Yes,No,4.0,4.77,4.35,7,8,ME,ME,ME,,Engineering,Engineering,Engineering,0.85
3/8/2026 11:18:34,Id,Yes,Yes,Yes,3.9,4.57,4.23,8,6,Economics,Business Economics,Economics,University of Washington,Public Admin,Business,Public Admin,0.0
3/8/2026 11:18:45,Id,Yes,Yes,Yes,3.9,4.3,4.3,7,9,Civil Engineering,Aerospace Engineering,Aerospace Engineering,Northeastern University,Engineering,Engineering,Engineering,0.85
3/8/2026 11:23:38,Id,Yes,Yes,Yes,4.0,5.0,4.3,8,8,data science,cs w/ specialization in bioinformatics,data science,case western reserve university (~32% acceptance rate),Computer Science,Life Sciences,Computer Science,0.85
3/8/2026 11:23:47,Id,Yes,Yes,Yes,4.0,4.56,4.28,7,7,Mechanical engineering,mechanical engineering,mechanical engineering,purdue,Engineering,Engineering,Engineering,0.85
3/8/2026 11:24:00,Id,Yes,Yes,No,3.7,3.7,4.0,8,5,global relations,international buissness,finance,tulane ea,Other/Interdisciplinary,Business,Business,0.27383275587173034
3/8/2026 11:24:19,Id,Yes,No,Yes,3.93,4.59,4.19,8,7,Statistics,Data Science,Data Science,UIUC,Life Sciences,Computer Science,Computer Science,0.85
3/8/2026 11:24:25,Email,Yes,Yes,Yes,3.88,4.41,4.17,7,8,Chemistry B.S.,Chemistry B.S.,Chemistry B.S.,,Life Sciences,Life Sciences,Life Sciences,0.85
3/8/2026 11:27:28,Id,No,No,Yes,3.88,4.28,4.19,8,8,Undeclared life sciences,Global health,Public health,SDSU,Life Sciences,Public Health,Public Health,0.85
3/8/2026 11:27:37,Id,No,No,No,3.96,4.58,4.29,7,8,bio,bio,bio,uc davis,Life Sciences,Life Sciences,Life Sciences,0.85
3/8/2026 11:28:33,Email,Yes,No,Yes,4.0,4.167,4.25,8,1,undeclared,CompSci/Undeclared,CompSci/Undeclared,SDSU/UCR (CompSci),Undeclared,Computer Science,Computer Science,0.85
3/8/2026 11:30:13,Didn't apply,No,Yes,Yes,3.78,4.38,4.03,8,8,Didn’t apply,Nano engineering,Chemical engineering,Csulb ( the hard ones haven’t came up yet),Other/Interdisciplinary,Engineering,Engineering,0.26237570372764185
3/8/2026 11:30:29,Id,No,Yes,Yes,4.0,4.5,4.3,7,5,ECE,ECE,Computer Engineering,,Engineering,Engineering,Engineering,0.85
3/8/2026 11:30:33,Id,Yes,Yes,Yes,3.84,4.4,4.16,7,7,Applied Math,Data Science,Applied Math,,Physical Sciences/Math,Computer Science,Physical Sciences/Math,0.85
3/8/2026 11:31:07,Id,No,No,No,3.95,4.38,4.26,8,7,Bio,Bio,Bio,,Life Sciences,Life Sciences,Life Sciences,0.85
3/8/2026 11:31:43,Email,Yes,No,Yes,3.6,3.96,3.92,8,7,Aerospace Engineering,Aerospace Engineering,Aerospace Engineering,,Engineering,Engineering,Engineering,0.02058943210468573
3/8/2026 11:34:11,Id,No,No,Yes,3.91,4.57,4.27,7,8,molecular cell bio,molecular cell bio,biological sciences,,Life Sciences,Life Sciences,Life Sciences,0.85
3/8/2026 11:34:14,Id,No,Yes,Yes,3.78,4.37,4.0,8,6,BS Chemistry in College of Chemistry,Environmental Chemistry,Environmental Science and Policy,University of Michigan LSA,Life Sciences,Life Sciences,Life Sciences,0.33614098674306453
3/8/2026 11:35:07,Email,Yes,No,No,3.8,4.29,4.13,8,4,Undeclared - humanities,Undeclared - humanities,Undeclared - humanities,UC Davis,Arts & Humanities,Arts & Humanities,Arts & Humanities,0.85
3/8/2026 11:36:24,Email,No,No,No,4.0,4.0,4.0,7,8,Electrical engineering,Electrical engineering,Electrical engineering,,Engineering,Engineering,Engineering,0.14584769315669968
3/8/2026 11:38:04,Id,No,Yes,No,4.0,4.93,4.27,8,8,Bioengineering,Computer Science,Computer Science and Engineering,,Engineering,Computer Science,Engineering,0.85
3/8/2026 11:38:27,Id,No,No,Yes,4.0,4.5,4.29,7,5,Conservation and Resource Studies,Marine Biology (Scripps),Environmental Science/Ecology,University of Florida,Other/Interdisciplinary,Life Sciences,Life Sciences,0.85
3/8/2026 11:39:03,Id,Yes,No,Yes,4.0,4.6,4.4,10,8,Mcb,Biochemistry,Biochemistry,UC Berkeley Early admit,Other/Interdisciplinary,Life Sciences,Life Sciences,0.6261070878604912
3/8/2026 11:39:12,Id,Yes,No,No,3.88,4.58,4.19,5,6,EECS,EE,EE,,Engineering,Engineering,Engineering,0.85
3/8/2026 11:40:31,Didn't apply,No,Yes,Yes,3.95,4.35,4.35,7,5,Data Science,Biology with Specialization in Bioinformatics,Biological Sciences,University of Rochester,Computer Science,Life Sciences,Life Sciences,0.85
3/8/2026 11:40:47,Id,No,Yes,No,3.93,4.62,4.16,7,7,EECS,CS plus Bioinformatics,CS,"UW CS, also UCSB Chancellors",Engineering,Life Sciences,Computer Science,0.85
3/8/2026 11:41:10,Id,Yes,Yes,Yes,4.0,4.6,4.36,7,8,Molecular biology,Bioengineering,Biomedical engineering,"University of Washington, University of Toronto",Life Sciences,Engineering,Engineering,0.8445180071807439
3/8/2026 11:44:10,Id,No,No,Yes,3.98,4.51,4.2,8,7,Integrative Biology,Human Biology,Biological Sciences,LMU,Life Sciences,Life Sciences,Life Sciences,0.85
3/8/2026 11:45:18,Id,No,Yes,No,4.0,4.6,4.5,7,7,japanese,business economics,business economics,usc (ea),Other/Interdisciplinary,Business,Business,0.11384582946642581
3/8/2026 11:45:20,Id,Yes,Yes,No,3.98,4.7,4.14,8,8,Industrial Engineering,Computer Science,Computer Science,UIUC CS,Engineering,Computer Science,Computer Science,0.85
3/8/2026 11:47:46,Id,No,Yes,Yes,3.95,4.6,4.25,9,6,Chemical Engineering,Chemical Engineering,Chemical Engineering,,Engineering,Engineering,Engineering,0.85
3/8/2026 11:49:12,Id,Yes,Yes,No,3.96,4.8,4.12,9,10,EECS,CS,CS,,Engineering,Computer Science,Computer Science,0.8461210336756559
3/8/2026 11:50:16,Id,No,Yes,Yes,4.0,4.84,4.2,8,8,MET/Engineering Undeclared,CSE - AI/Engineering: Electrical Engineering & Society,Computer Science,"USC, UIUC Eng. Undeclared, UCSC, Smith likely, UW Seattle CS",Engineering,Other/Interdisciplinary,Computer Science,0.85
3/8/2026 11:50:35,Id,No,Yes,Yes,4.0,4.44,4.0,7,7,Global Management,Computer Science,Business Information Management,Northeastern (ea) UIUC (rd),Business,Computer Science,Business,0.27383275587173034
3/8/2026 11:50:39,Id,No,No,Yes,3.9,4.44,4.25,7,7,MCB,Bioengineering,Biomedical engineering,UIUC/UC Davis (US) University of Toronto International,Life Sciences,Engineering,Engineering,0.85
3/8/2026 11:51:45,Id,No,No,Yes,4.0,4.57,4.18,7,8,ECE,EE,EE,Umich,Engineering,Engineering,Engineering,0.85
3/8/2026 11:54:50,Id,Yes,No,No,4.0,4.46,4.31,9,7,Civil Engineering,Mechanical Engineering,Civil Engineering,"UC Davis, Civil Engineering (only applied UCs and CSUs)",Engineering,Engineering,Engineering,0.85
3/8/2026 11:57:09,Id,No,No,No,4.0,4.48,4.29,8,9,Economics,Business Economics,Business Admin,Kelley,Public Admin,Business,Business,0.5861547008517104
3/8/2026 11:58:28,Email,Yes,No,Yes,3.7,4.27,3.97,8,8,Chemistry,Pharmacological Chemistry,Pharmaceutical Sciences,Udub,Life Sciences,Life Sciences,Life Sciences,0.2190139732175509
3/8/2026 11:59:07,Id,No,Yes,No,3.0,3.02,3.02,10,10,molecular and cell bio,public health and med sciences,archi and enviro design and planning,,Life Sciences,Public Health,Architecture,0.0
3/8/2026 11:59:21,Id,Yes,Yes,Yes,3.95,4.45,4.19,6,5,Applied Math,Math-CS,Mathematics of Computation,Washington ACMS/Purdue CS,Physical Sciences/Math,Physical Sciences/Math,Physical Sciences/Math,0.85
3/8/2026 11:59:24,Id,No,Yes,No,4.0,4.6,4.3,9,8,EECS,CS,CS,UCB,Engineering,Computer Science,Computer Science,0.85
3/8/2026 12:04:05,Id,No,Yes,Yes,4.0,4.8,4.36,6,6,Chemical Biology,Biochemistry,Biological Sciences,,Life Sciences,Life Sciences,Life Sciences,0.85
3/8/2026 12:05:37,Didn't apply,Yes,Yes,Yes,4.0,4.42,4.33,8,7,,Business Economics,Business Administration,"got accepted to CSULB, UCR, UCM, UCSC",,Business,Business,0.49435915082002513
3/8/2026 12:07:09,Id,No,Yes,Yes,3.88,,4.15,8,8,Economics,International Studies - Economics,Economics,,Public Admin,Other/Interdisciplinary,Public Admin,0.0
3/8/2026 12:09:24,Id,No,No,Yes,3.95,4.52,4.27,8,7,Ancient Greek and Roman studies,Marine bio,Polisci,"UCD, UWM, UW",Arts & Humanities,Life Sciences,Social Sciences,0.85
3/8/2026 12:09:47,Email,Yes,Yes,No,3.93,4.71,4.21,6,6,stats,stats,Data Science,UIUC,Life Sciences,Life Sciences,Computer Science,0.85
3/8/2026 12:10:29,Email,Yes,Yes,Yes,3.93,4.37,4.2,7,6,Political Science,Political Science - Public Policy,Social Policy and Public Service,Uc Davis,Social Sciences,Social Sciences,Social Sciences,0.85
3/8/2026 12:10:43,Id,No,No,No,3.9,4.33,4.27,9,7,linguistics,linguistics,linguistics,"uiuc honors, uw&m, uc davis (apparently impressive now lol), uoft, all linguistics",Arts & Humanities,Arts & Humanities,Arts & Humanities,0.7360572562503461
3/8/2026 12:14:13,Id,No,Yes,Yes,3.93,4.4,4.12,5,6,Philosophy (2nd choice undecided social sciences),Comp Sci (business psych 2nd choice),Psych (2nd choice Game design),Berkeley (got rlly lucky 🥹),Arts & Humanities,Other/Interdisciplinary,Other/Interdisciplinary,0.85
3/8/2026 12:15:39,Id,No,No,Yes,3.95,4.5,4.31,7,5,Political Econ,Econ and Math (Joint major),Business Admin,,Social Sciences,Other/Interdisciplinary,Business,0.5428132406158903
3/8/2026 12:21:33,Id,No,No,No,3.82,4.6,4.17,7,8,Econ,Business Econ,Business Admin,,Business,Business,Business,0.6546609320305886
3/8/2026 12:22:43,Id,Yes,No,Yes,3.89,4.43,4.22,7,5,cognitive science,cognitive science,cognitive science,ucsc,Other/Interdisciplinary,Other/Interdisciplinary,Other/Interdisciplinary,0.85
3/8/2026 12:23:59,Id,No,Yes,No,4.0,4.5,4.12,8,8,Data Science,Data Science,Data Science,Gatech CS oos,Computer Science,Computer Science,Computer Science,0.8461210336756559
3/8/2026 12:24:36,Id,No,Yes,Yes,4.0,4.7,4.32,9,7,ECE,ECE,CSE,Georgia tech compe or umich cs,Engineering,Engineering,Computer Science,0.85
3/8/2026 12:27:10,Id,Yes,No,Yes,3.98,4.29,4.29,6,7,biochem,biochem,chem,,Life Sciences,Life Sciences,Life Sciences,0.85
